"","Position","Height","Playtype","Name","Rating","Team"
"1143","C / PF","7'0""","Glass-Cleaning Finisher","James Wiseman",79,"Detroit Pistons"
"1144","PF / C","6'10""","Inside the Arc Scorer","Marvin Bagley III",79,"Detroit Pistons"
"1145","C / PF","6'8""","Inside the Arc Scorer","Isaiah Stewart",78,"Detroit Pistons"
"1146","SF / SG","6'5""","Inside the Arc Scorer","Hamidou Diallo",77,"Detroit Pistons"
"1147","SF / SG","6'6""","3-Level Scorer","Alec Burks",77,"Detroit Pistons"
"1148","PG / SG","6'5""","Mid-Range Playmaker","Killian Hayes",75,"Detroit Pistons"
"1149","SG / PG","6'4""","3-Level Shot Creator","R.J. Hampton",74,"Detroit Pistons"
"1150","PG / SG","6'3""","Playmaking Shot Creator","Cory Joseph",74,"Detroit Pistons"
"1151","SF / SG","6'6""","Perimeter Defender","Eugene Omoruyi",74,"Detroit Pistons"
"1152","SG / PF","6'6""","Shooter","Isaiah Livers",74,"Detroit Pistons"
"1153","SG / PG","6'4""","3 & D Two Guard","Rodney McGruder",73,"Detroit Pistons"
"1154","SG / SF","6'6""","Perimeter Defender","Jared Rhoden",69,"Detroit Pistons"
"1155","SG","6'6""","Shooter","Buddy Boeheim",68,"Detroit Pistons"
"1156","PG / SG","6'1""","2-Way Slashing Playmaker","Isiah Thomas",93,"1988-89 Detroit Pistons"
"1157","SG / PG","6'3""","2-Way Diming Sharpshooter","Joe Dumars",91,"1988-89 Detroit Pistons"
"1158","PF / SF","6'7""","Defensive Anchor","Dennis Rodman",83,"1988-89 Detroit Pistons"
"1159","SF / SG","6'6""","2-Way Interior Finisher","Mark Aguirre",82,"1988-89 Detroit Pistons"
"1160","SG / PG","6'2""","Diming Inside the Arc Scorer","Vinnie Johnson",82,"1988-89 Detroit Pistons"
"1161","C / PF","6'11""","2-Way Stretch Five","Bill Laimbeer",80,"1988-89 Detroit Pistons"
"1162","C / PF","7'0""","Glass-Cleaning Finisher","James Edwards",77,"1988-89 Detroit Pistons"
"1163","C / PF","6'10""","Paint Protector","Rick Mahorn",77,"1988-89 Detroit Pistons"
"1164","PG","6'2""","2-Way Mid-Range Shooter","Micheal Williams",74,"1988-89 Detroit Pistons"
"1165","SG","6'5""","Mid-Range Specialist","John Long",74,"1988-89 Detroit Pistons"
"1166","PF / C","6'11""","Paint Protector","John Salley",72,"1988-89 Detroit Pistons"
"1167","PG / SG","6'3""","All-Around Threat","Chauncey Billups",89,"2003-04 Detroit Pistons"
"1168","C / PF","6'9""","Defensive Anchor","Ben Wallace",89,"2003-04 Detroit Pistons"
"1169","SG / SF","6'6""","2-Way Diming Sharpshooter","Richard Hamilton",88,"2003-04 Detroit Pistons"
"1170","SF / SF","6'7""","Hybrid Defender","Corliss Williamson",75,"2003-04 Detroit Pistons"
"1171","PG","6'2""","Shot Creator","Mike James",74,"2003-04 Detroit Pistons"
"1172","SF / SG","6'7""","Athletic Finisher","Darvin Ham",72,"2003-04 Detroit Pistons"
"1173","C / PF","6'11""","Paint Protector","Elden Campbell",72,"2003-04 Detroit Pistons"
"1174","C / PF","7'0""","Rim Protector","Darko Milicic",72,"2003-04 Detroit Pistons"
"1175","PG / SG","6'2""","Ball Hawk","Lindsey Hunter",70,"2003-04 Detroit Pistons"
"1176","SF","6'8""","Perimeter Defender","Tremaine Fowlkes",68,"2003-04 Detroit Pistons"
"1177","PG / SG","6'1""","2-Way Playshot","Isiah Thomas",95,"All-Time Detroit Pistons"
"1178","SG / PG","6'3""","All-Around Threat","Joe Dumars",93,"All-Time Detroit Pistons"
"1179","PG / SG","6'3""","All-Around Threat","Chauncey Billups",93,"All-Time Detroit Pistons"
"1180","SF / SG","6'8""","2-Way Slashing Point Forward","Grant Hill",93,"All-Time Detroit Pistons"
"1181","C","6'11""","2-Way Inside-the-Arc Scorer","Bob Lanier",93,"All-Time Detroit Pistons"
"1182","PG / SG","6'3""","All-Around Threat","Dave Bing",90,"All-Time Detroit Pistons"
"1183","SG / SF","6'6""","2-Way Sharpshooter","Richard Hamilton",89,"All-Time Detroit Pistons"
"1184","C / PF","6'9""","Defensive Anchor","Ben Wallace",89,"All-Time Detroit Pistons"
"1185","PF / SF","6'7""","Defensive Anchor","Dennis Rodman",89,"All-Time Detroit Pistons"
"1186","SG / SF","6'6""","2-Way 3-Level Scorer","Jerry Stackhouse",89,"All-Time Detroit Pistons"
"1187","PF / SF","6'6""","2-Way 3-Level Scorer","Dave Debusschere",89,"All-Time Detroit Pistons"
"1188","PF / SF","6'7""","2-Way Inside-the-Arc Scorer","Bailey Howell",88,"All-Time Detroit Pistons"
"1189","C / PF","6'11""","2-Way 3-Level Scorer","Bill Laimbeer",87,"All-Time Detroit Pistons"
"1190","SG / SF","6'6""","2-Way Sharpshooter","Kelly Tripucka",86,"All-Time Detroit Pistons"
"1191","C","6'11""","Paint Beast","Andre Drummond",86,"All-Time Detroit Pistons"
"1192","PF / C","6'8""","2-Way 3-Level Playmaker","Pascal Siakam",87,"Toronto Raptors"
"1193","PF / SF","6'8""","Interior Finisher","Scottie Barnes",83,"Toronto Raptors"
"1194","SG / PG","6'0""","2-Way Playshot","Fred VanVleet",83,"Toronto Raptors"
"1195","SF / PF","6'7""","2-Way 3-Level Scorer","OG Anunoby",82,"Toronto Raptors"
"1196","C","7'1""","Paint Beast","Jakob Poeltl",81,"Toronto Raptors"
"1197","SG / SF","6'5""","3-Level Scorer","Gary Trent Jr.",80,"Toronto Raptors"
"1198","PF / C","6'9""","2-Way Inside-Out Scorer","Chris Boucher",79,"Toronto Raptors"
"1199","C / PF","6'8""","Glass-Cleaning Finisher","Precious Achiuwa",78,"Toronto Raptors"
"1200","PF / C","6'8""","2-Way Interior Finisher","Thaddeus Young",76,"Toronto Raptors"
"1201","PF / SF","6'8""","3-Level Scorer","Otto Porter Jr.",76,"Toronto Raptors"
"1202","SF / SG","6'7""","Mid-Range Specialist","Dalano Banton",75,"Toronto Raptors"
"1203","SG / SF","6'5""","3 & D Two Guard","Will Barton",74,"Toronto Raptors"
"1204","C","7'0""","Rim Protector","Christian Koloko",73,"Toronto Raptors"
"1205","PG","6'1""","Inside-Out Scorer","Malachi Flynn",73,"Toronto Raptors"
"1206","SG / PG","6'6""","Athletic Finisher","Joe Wieskamp",70,"Toronto Raptors"
"1207","PG","6'3""","3PT Shooter","Jeff Dowtin",69,"Toronto Raptors"
"1208","SG","6'5""","3PT Shooter","Ron Harper Jr.",68,"Toronto Raptors"
"1209","SG / SF","6'6""","All-Around Threat","Vince Carter",94,"1999-00 Toronto Raptors"
"1210","SG / PG","6'8""","3-Level Shot Creator","Tracy McGrady",84,"1999-00 Toronto Raptors"
"1211","SG / SF","6'6""","3 & D Two Guard","Doug Christie",80,"1999-00 Toronto Raptors"
"1212","C / PF","6'9""","Defensive Anchor","Antonio Davis",78,"1999-00 Toronto Raptors"
"1213","PF / C","6'8""","2-Way Mid-Range Shooter","Charles Oakley",76,"1999-00 Toronto Raptors"
"1214","PG / SG","5'3""","Playmaking Shot Creator","Muggsy Bogues",76,"1999-00 Toronto Raptors"
"1215","PF / C","7'0""","Glass-Cleaning Finisher","Kevin Willis",75,"1999-00 Toronto Raptors"
"1216","PG","6'5""","Diming Inside the Arc Scorer","Alvin Williams",75,"1999-00 Toronto Raptors"
"1217","SG / SF","6'4""","Sharpshooter","Dell Curry",72,"1999-00 Toronto Raptors"
"1218","PG / SG","6'1""","3-Level Scorer","Dee Brown",72,"1999-00 Toronto Raptors"
"1219","PG","6'2""","Tempo-Pushing Point","Haywoode Workman",70,"1999-00 Toronto Raptors"
"1220","C","6'9""","Paint Protector","John Thomas",68,"1999-00 Toronto Raptors"
"1221","SF / PF","6'7""","All-Around Threat","Kawhi Leonard",97,"2018-19 Toronto Raptors"
"1222","PF / C","6'9""","2-Way 3-Level Scorer","Pascal Siakam",86,"2018-19 Toronto Raptors"
"1223","PG","6'0""","2-Way Playshot","Kyle Lowry",86,"2018-19 Toronto Raptors"
"1224","C / PF","7'0""","2-Way 3-Level Scorer","Serge Ibaka",81,"2018-19 Toronto Raptors"
"1225","PG","6'""","2-Way 3PT Playmaker","Fred VanVleet",81,"2018-19 Toronto Raptors"
"1226","SG / SF","6'6""","3 & D Two Guard","Danny Green",79,"2018-19 Toronto Raptors"
"1227","SF / PF","6'7""","3 & D Wing","OG Anunoby",76,"2018-19 Toronto Raptors"
"1228","SG / SF","6'3""","Shooter","Norman Powell",76,"2018-19 Toronto Raptors"
"1229","PG / SG","6'3""","Mid-Range Shooter","Jeremy Lin",73,"2018-19 Toronto Raptors"
"1230","C / PF","6'9""","Glass Cleaner","Chris Boucher",73,"2018-19 Toronto Raptors"
"1231","SF / PF","6'7""","All-Around Threat","Kawhi Leonard",96,"All-Time Toronto Raptors"
"1232","SF / SG","6'6""","All-Around Threat","Vince Carter",96,"All-Time Toronto Raptors"
"1233","PF / C","6'11""","2-Way Inside-the-Arc Scorer","Chris Bosh",90,"All-Time Toronto Raptors"
"1234","SG / SF","6'7""","2-Way Inside-the-Arc Maestro","DeMar DeRozan",89,"All-Time Toronto Raptors"
"1235","PG","6'0""","All-Around Threat","Kyle Lowry",89,"All-Time Toronto Raptors"
"1236","PF / C","6'9""","2-Way 3-Level Scorer","Pascal Siakam",86,"All-Time Toronto Raptors"
"1237","PG","5'10""","Versatile Offensive Force","Damon Stoudamire",86,"All-Time Toronto Raptors"
"1238","SG / PG","6'8""","3-Level Shot Creator","Tracy McGrady",85,"All-Time Toronto Raptors"
"1239","SG / SF","6'7""","2-Way Sharpshooter","Morris Peterson",85,"All-Time Toronto Raptors"
"1240","C / PF","6'9""","2-Way Inside-the-Arc Scorer","Antonio Davis",85,"All-Time Toronto Raptors"
"1241","C","7'0""","2-Way 3-Level Scorer","Andrea Bargnani",84,"All-Time Toronto Raptors"
"1242","SG / SF","6'6""","2-Way Diming Sharpshooter","Doug Christie",84,"All-Time Toronto Raptors"
"1243","PG","6'0""","2-Way Playshot","Fred VanVleet",83,"All-Time Toronto Raptors"
"1244","C","7'0""","2-Way Inside-the-Arc Scorer","Jonas Valanciunas",81,"All-Time Toronto Raptors"
"1245","PF / C","6'10""","2-Way 3-Level Scorer","Serge Ibaka",81,"All-Time Toronto Raptors"
"1246","SG / SF","6'4""","Scoring Machine","Jalen Green",84,"Houston Rockets"
"1247","C / PF","6'11""","Glass-Cleaning Finisher","Alperen Sengun",83,"Houston Rockets"
"1248","SG / PG","6'4""","Playmaking Shot Creator","Kevin Porter Jr.",81,"Houston Rockets"
"1249","PF","6'11""","3-Level Scorer","Jabari Smith Jr.",79,"Houston Rockets"
"1250","SF / PF","6'8""","Stretch Glass Cleaner","Tari Eason",79,"Houston Rockets"
"1251","PF / C","6'7""","Interior Finisher","Kenyon Martin Jr.",79,"Houston Rockets"
"1252","SF / PF","6'5""","Interior Finisher","Jae’Sean Tate",77,"Houston Rockets"
"1253","SG / SF","6'4""","Athletic Finisher","Josh Christopher",75,"Houston Rockets"
"1254","PF / C","7'0""","Inside-Out Scorer","Frank Kaminsky",75,"Houston Rockets"
"1255","PF / SF","6'8""","Stretch Glass Cleaner","Usman Garuba",74,"Houston Rockets"
"1256","C","7'4""","Interior Finisher","Boban Marjanovic",73,"Houston Rockets"
"1257","C","7'0""","Paint Protector","Willie Cauley-Stein",73,"Houston Rockets"
"1258","PG","6'3""","Mid-Range Shot Creator","TyTy Washington",72,"Houston Rockets"
"1259","PG","5'11""","Diming Outside Scorer","D.J. Augustin",70,"Houston Rockets"
"1260","PG","6'4""","Tempo-Pushing Point","Daishen Nix",70,"Houston Rockets"
"1261","PG","6'0""","3-Level Scorer","Trevor Hudgins",68,"Houston Rockets"
"1262","PF / SF","6'7""","Paint Protector","Darius Days",67,"Houston Rockets"
"1263","C / PF","7'0""","2-Way Inside-the-Arc Scorer","Hakeem Olajuwon",97,"1993-94 Houston Rockets"
"1264","PF / C","6'10""","Defensive Anchor","Otis Thorpe",80,"1993-94 Houston Rockets"
"1265","PG / SG","6'3""","Diming Sharpshooter","Kenny Smith",79,"1993-94 Houston Rockets"
"1266","SG / SF","6'4""","3-Level Scorer","Vernon Maxwell",78,"1993-94 Houston Rockets"
"1267","SF / PF","6'10""","3 & D Wing","Robert Horry",77,"1993-94 Houston Rockets"
"1268","PG / SG","6'3""","Inside the Arc Shot Creator","Sam Cassell",76,"1993-94 Houston Rockets"
"1269","SG / SF","6'5""","Sharpshooter","Mario Elie",75,"1993-94 Houston Rockets"
"1270","PF","6'9""","Mid-Range Specialist","Carl Herrera",72,"1993-94 Houston Rockets"
"1271","PG / SG","5'11""","Shooter","Scott Brooks",71,"1993-94 Houston Rockets"
"1272","SG","6'3""","Tempo-Pushing Guard","Larry Robinson",70,"1993-94 Houston Rockets"
"1273","PF / C","6'10""","Stretch Four","Matt Bullard",69,"1993-94 Houston Rockets"
"1274","PF","6'9""","Glass Cleaner","Earl Cureton",68,"1993-94 Houston Rockets"
"1275","SG / SF","6'8""","2-Way Playshot","Tracy McGrady",92,"2007-08 Houston Rockets"
"1276","C","7'6""","2-Way Inside-the-Arc Scorer","Yao Ming",89,"2007-08 Houston Rockets"
"1277","SF / PF","6'8""","2-Way Shooter","Shane Battier",80,"2007-08 Houston Rockets"
"1278","PG","6'2""","Inside-Out Shot Creator","Rafer Alston",79,"2007-08 Houston Rockets"
"1279","PF","6'9""","Inside the Arc Scorer","Carl Landry",77,"2007-08 Houston Rockets"
"1280","PG","6'0""",NA,"Aaron Brooks",76,"2007-08 Houston Rockets"
"1281","PF","6'9""","3-Level Scoring Glass Cleaner","Luis Scola",76,"2007-08 Houston Rockets"
"1282","C","7'2""","Defensive Anchor","Dikembe Mutombo",75,"2007-08 Houston Rockets"
"1283","PG","6'1""","Playmaking Shot Creator","Bobby Jackson",75,"2007-08 Houston Rockets"
"1284","PG / SG","6'3""","Shooter","Luther Head",74,"2007-08 Houston Rockets"
"1285","SF","6'10""","Sharpshooter","Steve Novak",73,"2007-08 Houston Rockets"
"1286","PG / SG","6'3""","Tempo-Pushing Point","Steve Francis",73,"2007-08 Houston Rockets"
"1287","PF","6'6""","Paint Protector","Chuck Hayes",70,"2007-08 Houston Rockets"
"1288","C / PF","7'0""","2-Way Inside-the-Arc Scorer","Hakeem Olajuwon",98,"All-Time Houston Rockets"
"1289","C / PF","6'10""","2-Way Inside-the-Arc Scorer","Moses Malone",97,"All-Time Houston Rockets"
"1290","SG / PG","6'5""","Versatile Offensive Force","James Harden",95,"All-Time Houston Rockets"
"1291","SG / SF","6'7""","2-Way 3-Level Scorer","Clyde Drexler",93,"All-Time Houston Rockets"
"1292","SG / PG","6'8""","All-Around Threat","Tracy McGrady",92,"All-Time Houston Rockets"
"1293","C","7'6""","2-Way Inside-the-Arc Scorer","Yao Ming",91,"All-Time Houston Rockets"
"1294","PG / SG","5'9""","2-Way Slashing Playmaker","Calvin Murphy",91,"All-Time Houston Rockets"
"1295","PG","6'0""","2-Way Playshot","Chris Paul",90,"All-Time Houston Rockets"
"1296","C / PF","7'4""","Paint Beast","Ralph Sampson",89,"All-Time Houston Rockets"
"1297","PF / C","6'9""","Paint Beast","Elvin Hayes",89,"All-Time Houston Rockets"
"1298","SF / PF","6'8""","2-Way 3-Level Scorer","Rudy Tomjanovich",88,"All-Time Houston Rockets"
"1299","PG / SG","6'3""","2-Way Playshot","Steve Francis",88,"All-Time Houston Rockets"
"1300","PG / SG","6'3""","Versatile Offensive Force","Kenny Smith",87,"All-Time Houston Rockets"
"1301","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Otis Thorpe",86,"All-Time Houston Rockets"
"1302","SG / SF","6'4""","2-Way Playshot","Vernon Maxwell",83,"All-Time Houston Rockets"
"1303","PG","6'2""","Versatile Offensive Force","Damian Lillard",95,"Portland Trail Blazers"
"1304","PG / SG","6'3""","Versatile Offensive Force","Anfernee Simons",83,"Portland Trail Blazers"
"1305","C","7'0""","2-Way Inside-Out Scorer","Jusuf Nurkic",82,"Portland Trail Blazers"
"1306","PF / SF","6'8""","3-Level Shot Creator","Jerami Grant",82,"Portland Trail Blazers"
"1307","SG","6'5""","3-Level Shot Creator","Shaedon Sharpe",78,"Portland Trail Blazers"
"1308","C / PF","6'10""","Interior Finisher","Drew Eubanks",77,"Portland Trail Blazers"
"1309","PF / SF","6'8""","Interior Finisher","Trendon Watford",77,"Portland Trail Blazers"
"1310","SF / PF","6'5""","3 & D Wing","Matisse Thybulle",76,"Portland Trail Blazers"
"1311","SF / PF","6'5""","Stretch Four","Nassir Little",75,"Portland Trail Blazers"
"1312","SF / SG","6'7""","2-Way Inside-Out Scorer","Cam Reddish",75,"Portland Trail Blazers"
"1313","SF / PG","6'6""","Hybrid Defender","Justise Winslow",74,"Portland Trail Blazers"
"1314","SG / SF","6'4""","Shooter","Skylar Mays",72,"Portland Trail Blazers"
"1315","PF","6'7""","Hybrid Defender","Jabari Walker",71,"Portland Trail Blazers"
"1316","SG / SF","6'3""","Inside-Out Scorer","Keon Johnson",71,"Portland Trail Blazers"
"1317","SF / PF","6'7""","Stretch Four","Kevin Knox",71,"Portland Trail Blazers"
"1318","SG / SF","6'5""","Shooter","Jeenathan Williams",70,"Portland Trail Blazers"
"1319","SF","6'7""","3PT Shooter","Justin Minaya",69,"Portland Trail Blazers"
"1320","C","6'10""","Paint Protector","Chance Comanche",68,"Portland Trail Blazers"
"1321","C","7'1""","Paint Protector","Ibou Badji",67,"Portland Trail Blazers"
"1322","C / PF","7'0""","Paint Protector","John Butler",67,"Portland Trail Blazers"
"1323","SG / SF","6'7""","2-Way 3-Level Scorer","Clyde Drexler",92,"1990-91 Portland Trail Blazers"
"1324","PG / SG","6'3""","Diming Sharpshooter","Terry Porter",85,"1990-91 Portland Trail Blazers"
"1325","SF / PF","6'7""","2-Way Interior Finisher","Jerome Kersey",82,"1990-91 Portland Trail Blazers"
"1326","PF / C","6'10""","Glass-Cleaning Finisher","Clifford Robinson",79,"1990-91 Portland Trail Blazers"
"1327","PF / C","6'8""","Defensive Anchor","Buck Williams",79,"1990-91 Portland Trail Blazers"
"1328","SG / PG","6'4""","Sharpshooter","Danny Ainge",79,"1990-91 Portland Trail Blazers"
"1329","SG / SF","6'5""","Sharpshooter","Drazen Petrovic",78,"1990-91 Portland Trail Blazers"
"1330","SG / SF","6'6""","Mid-Range Shooter","Walter Davis",77,"1990-91 Portland Trail Blazers"
"1331","C / PF","7'0""","Interior Finisher","Kevin Duckworth",77,"1990-91 Portland Trail Blazers"
"1332","PF","6'10""","Glass Cleaner","Alaa Abdelnaby",74,"1990-91 Portland Trail Blazers"
"1333","C","6'10""","Glass Cleaner","Wayne Cooper",71,"1990-91 Portland Trail Blazers"
"1334","PF / C","6'9""","Paint Protector","Mark Bryant",69,"1990-91 Portland Trail Blazers"
"1335","C / PF","7'3""","2-Way Inside-the-Arc Scorer","Arvydas Sabonis",86,"1999-00 Portland Trail Blazers"
"1336","SF / SG","6'8""","2-Way 3-Level Point Forward","Scottie Pippen",85,"1999-00 Portland Trail Blazers"
"1337","SG / SF","6'7""","2-Way Sharpshooter","Steve Smith",83,"1999-00 Portland Trail Blazers"
"1338","PG","5'10""","Playmaking Shot Creator","Damon Stoudamire",81,"1999-00 Portland Trail Blazers"
"1339","SF / PF","6'9""","Shooter","Detlef Schrempf",78,"1999-00 Portland Trail Blazers"
"1340","C / PF","6'11""","Glass-Cleaning Finisher","Jermaine O’Neal",77,"1999-00 Portland Trail Blazers"
"1341","PF / SF","6'9""","Defensive Anchor","Brian Grant",77,"1999-00 Portland Trail Blazers"
"1342","SF / SG","6'5""","2-Way Interior Finisher","Bonzi Wells",76,"1999-00 Portland Trail Blazers"
"1343","SG / SF","6'8""","Hybrid Defender","Stacey Augmon",76,"1999-00 Portland Trail Blazers"
"1344","PG / SG","6'0""","3PT Playmaker","Greg Anthony",75,"1999-00 Portland Trail Blazers"
"1345","PF","6'11""","Paint Protector","Antonio Harvey",70,"1999-00 Portland Trail Blazers"
"1346","PG","6'3""","Prospect","Gary Grant",69,"1999-00 Portland Trail Blazers"
"1347","PF / C","6'11""","2-Way Inside-the-Arc Scorer","LaMarcus Aldridge",85,"2009-10 Portland Trail Blazers"
"1348","SF / SG","6'8""","Sharpshooter","Nicolas Batum",83,"2009-10 Portland Trail Blazers"
"1349","C","7'0""","Defensive Anchor","Greg Oden",83,"2009-10 Portland Trail Blazers"
"1350","PG","6'4""","2-Way Slashing Playmaker","Andre Miller",83,"2009-10 Portland Trail Blazers"
"1351","C","6'11""","Defensive Anchor","Marcus Camby",82,"2009-10 Portland Trail Blazers"
"1352","SG","6'6""","Inside-Out Shot Creator","Rudy Fernandez",76,"2009-10 Portland Trail Blazers"
"1353","C","6'9""","Inside the Arc Scorer","Juwan Howard",75,"2009-10 Portland Trail Blazers"
"1354","PG","6'0""","Inside-Out Shot Creator","Patty Mills",75,"2009-10 Portland Trail Blazers"
"1355","SG / SF","6'7""","2-Way 3-Level Shot Creator","Clyde Drexler",96,"All-Time Portland Trail Blazers"
"1356","C / PF","6'11""","2-Way Inside-the-Arc Maestro","Bill Walton",95,"All-Time Portland Trail Blazers"
"1357","PG","6'3""","Versatile Offensive Force","Damian Lillard",94,"All-Time Portland Trail Blazers"
"1358","PF / C","6'9""","2-Way Inside-the-Arc Scorer","Maurice Lucas",90,"All-Time Portland Trail Blazers"
"1359","PF / C","6'11""","2-Way 3-Level Scorer","LaMarcus Aldridge",89,"All-Time Portland Trail Blazers"
"1360","C / PF","7'3""","2-Way Diming 3-Level Scorer","Arvydas Sabonis",88,"All-Time Portland Trail Blazers"
"1361","SG / PG","6'4""","All-Around Threat","Geoff Petrie",87,"All-Time Portland Trail Blazers"
"1362","SF / PF","6'7""","2-Way Inside-the-Arc Scorer","Jerome Kersey",87,"All-Time Portland Trail Blazers"
"1363","PG / SG","6'3""","All-Around Threat","Terry Porter",87,"All-Time Portland Trail Blazers"
"1364","PF / SF","6'8""","2-Way Inside-the-Arc Scorer","Sidney Wicks",87,"All-Time Portland Trail Blazers"
"1365","PF","6'9""","Inside the Arc Glass Cleaner","Zach Randolph",86,"All-Time Portland Trail Blazers"
"1366","SG / PG","6'4""","Playmaking Shot Creator","C.J. McCollum",86,"All-Time Portland Trail Blazers"
"1367","SF / PF","6'8""","Sharpshooter","Kiki Vandeweghe",86,"All-Time Portland Trail Blazers"
"1368","SG / PG","6'6""","2-Way Slashing Combo Guard","Jim Paxson",85,"All-Time Portland Trail Blazers"
"1369","C / PF","7'0""","2-Way Inside-the-Arc Scorer","Kevin Duckworth",85,"All-Time Portland Trail Blazers"
"1370","SF / PF","6'5""","3-Level Scorer","Keldon Johnson",83,"San Antonio Spurs"
"1371","SF / SG","6'5""","2-Way Sharpshooter","Devin Vassell",81,"San Antonio Spurs"
"1372","PF / C","6'11""","Stretch Five","Zach Collins",80,"San Antonio Spurs"
"1373","PG","6'1""","Inside the Arc Playmaker","Tre Jones",79,"San Antonio Spurs"
"1374","PF","6'8""","Hybrid Defender","Jeremy Sochan",78,"San Antonio Spurs"
"1375","SF","6'4""","Inside the Arc Scorer","Malaki Branham",76,"San Antonio Spurs"
"1376","SF / PF","6'8""","Inside-Out Scorer","Keita Bates-Diop",76,"San Antonio Spurs"
"1377","PG / SG","6'1""","Playmaking Shot Creator","Devonte’ Graham",76,"San Antonio Spurs"
"1378","C","6'9""","Glass Cleaner","Charles Bassey",75,"San Antonio Spurs"
"1379","PF / SF","6'6""","Inside-Out Scorer","Doug McDermott",74,"San Antonio Spurs"
"1380","C / PF","6'8""","Paint Protector","Khem Birch",74,"San Antonio Spurs"
"1381","C","6'10""","Glass Cleaner","Sandro Mamukelashvili",73,"San Antonio Spurs"
"1382","C","6'10""","Interior Finisher","Gorgui Dieng",73,"San Antonio Spurs"
"1383","SG / SF","6'5""","Tempo-Pushing Guard","Romeo Langford",73,"San Antonio Spurs"
"1384","PG / SG","6'4""","Inside-Out Shot Creator","Blake Wesley",72,"San Antonio Spurs"
"1385","SF / PF","6'9""","Rebounder","Dominick Barlow",68,"San Antonio Spurs"
"1386","SG / SF","6'7""","Perimeter Defender","Julian Champagnie",68,"San Antonio Spurs"
"1387","C","7'3""",NA,"Victor Wembanyama",NA,"San Antonio Spurs"
"1388","C / PF","7'1""","Paint Beast","David Robinson",91,"1997-98 San Antonio Spurs"
"1389","PF / C","6'11""","Paint Beast","Tim Duncan",89,"1997-98 San Antonio Spurs"
"1390","PG / SG","5'10""","2-Way Playmaker","Avery Johnson",79,"1997-98 San Antonio Spurs"
"1391","SF / SG","6'8""","3 & D Wing","Sean Elliott",78,"1997-98 San Antonio Spurs"
"1392","SG / PG","6'4""",NA,"Vinny Del Negro",74,"1997-98 San Antonio Spurs"
"1393","PF","6'7""","Interior Finisher","Malik Rose",74,"1997-98 San Antonio Spurs"
"1394","SF","6'8""","Tempo-Pushing Wing","Willie Burton",73,"1997-98 San Antonio Spurs"
"1395","PF","6'9""","Mid-Range Specialist","Carl Herrera",72,"1997-98 San Antonio Spurs"
"1396","SF / PF","6'8""","3PT Specialist","Chuck Person",71,"1997-98 San Antonio Spurs"
"1397","C / PF","7'0""","Glass Cleaner","Will Perdue",70,"1997-98 San Antonio Spurs"
"1398","SG / SF","6'4""","3PT Specialist","Jaren Jackson",70,"1997-98 San Antonio Spurs"
"1399","SF / PF","6'8""","Prospect","Monty Williams",69,"1997-98 San Antonio Spurs"
"1400","PF / C","6'11""","2-Way Inside-the-Arc Maestro","Tim Duncan",98,"2004-05 San Antonio Spurs"
"1401","PG","6'2""","2-Way Slashing Playmaker","Tony Parker",91,"2004-05 San Antonio Spurs"
"1402","SG","6'6""","Offensive Threat","Manu Ginobili",87,"2004-05 San Antonio Spurs"
"1403","SF / PF","6'8""","2-Way Sharpshooter","Bruce Bowen",84,"2004-05 San Antonio Spurs"
"1404","SF / PF","6'10""","3PT Specialist","Robert Horry",79,"2004-05 San Antonio Spurs"
"1405","SF / SG","6'7""","Shooter","Brent Barry",78,"2004-05 San Antonio Spurs"
"1406","C","6'10""","Paint Protector","Nazr Mohammed",77,"2004-05 San Antonio Spurs"
"1407","SF","6'7""","Shooter","Glenn Robinson",76,"2004-05 San Antonio Spurs"
"1408","PG","6'3""","Diming 3-Level Scorer","Beno Udrih",73,"2004-05 San Antonio Spurs"
"1409","PF","6'9""","Paint Protector","Tony Massenburg",67,"2004-05 San Antonio Spurs"
"1410","PF","6'10""",NA,"Malik Rose",NA,"2004-05 San Antonio Spurs"
"1411","PF / C","6'11""","Paint Beast","Tim Duncan",95,"2013-14 San Antonio Spurs"
"1412","SF / PF","6'7""","2-Way 3-Level Scorer","Kawhi Leonard",93,"2013-14 San Antonio Spurs"
"1413","PG","6'2""","2-Way Playshot","Tony Parker",87,"2013-14 San Antonio Spurs"
"1414","SG","6'6""","Inside-Out Combo Guard","Manu Ginobili",83,"2013-14 San Antonio Spurs"
"1415","SG / SF","6'6""","2-Way Inside-Out Scorer","Danny Green",82,"2013-14 San Antonio Spurs"
"1416","PG","6'0""","Sharpshooting Shot Creator","Patty Mills",79,"2013-14 San Antonio Spurs"
"1417","C","6'11""","Paint Protector","Tiago Splitter",78,"2013-14 San Antonio Spurs"
"1418","SF","6'8""","Stretch Four","Boris Diaw",77,"2013-14 San Antonio Spurs"
"1419","PG / SG","6'3""","2-Way Slashing Playmaker","Cory Joseph",77,"2013-14 San Antonio Spurs"
"1420","PF","6'10""","Stretch Four","Matt Bonner",74,"2013-14 San Antonio Spurs"
"1421","PF / C","6'11""","2-Way Inside-the-Arc Scorer","Tim Duncan",98,"All-Time San Antonio Spurs"
"1422","C / PF","7'1""","2-Way Inside-the-Arc Scorer","David Robinson",96,"All-Time San Antonio Spurs"
